Les différentes parties du paragraphe (£ pour un retour à la ligne),Name (Timbres),Clickable ?
"Hey. Since I got a quick answer last time i’m writing again to your company. It’s really great to have genuine, personalized answers. Made me think a lot. I’ve sent a bunch of letters already, ah ah ah. My existence is entirely focused on those for now. Well, existence…£Sometimes, I wonder if I even exist.££",,none
"To exist, people need either physical power, or spiritual one. In ancient times, people with spiritual power were generally working for some kind of deity. ",,none
"But now, God’s name is Money. Actions. Votes. Or even Views.",,link
" Those are hard to get. And since I'm no powerful alpha male either, I need to find other ways to exist in people’s minds. Of gaining more spiritual power.££",,none
"Are you with me ? i’m hard to follow, sometimes. I’ve always had trouble communicating…",,link
" Even though I think that I’m a people person. You know, my blood type’s O- . Universal blood donor…I’m a philanthropist by nature.££",Lyle1,timbre
"And the best I could do for society is helping itself to enhance. I mean, don’t you agree ?£",,none
"Imagine a world where everyone could use sheer rationality to analyze, and discuss everything.",,link
" Where you could reason anyone without being called a maniac. Where emotions wouldn’t lead us, but education, and pragmatism would. And I'm not saying we need instruction, i’m not talking about brainwashing ; we need education. The difference in matters of understanding is real.££",,none
"I’ve recently closely followed Mr.Lowcey’s activity. I want to know how he became renowned. I hope he’ll soon teach me, and let me talk to people about my plans. I’m very eager to find people who agree with my vision. And then, with enough support, I’ll get to the top, and lead our Nation to evolution.££Can I count on your company too ? Spread the word. Things are gonna change !",,none
